CMDLINE /home/nel/anaconda3/envs/caiman/bin/python3.7 memory.py
MEM 1876.382812 1584631917.0198
MEM 1876.382812 1584631917.1201
MEM 1876.382812 1584631917.2204
MEM 1876.640625 1584631917.3207
MEM 1876.898438 1584631917.4210
MEM 1876.898438 1584631917.5213
MEM 1876.898438 1584631917.6216
MEM 1877.156250 1584631917.7218
MEM 1877.156250 1584631917.8221
MEM 1877.414062 1584631917.9224
MEM 1877.671875 1584631918.0227
MEM 1877.703125 1584631918.1230
MEM 1877.855469 1584631918.2233
MEM 1878.007812 1584631918.3236
MEM 1878.160156 1584631918.4239
MEM 1878.312500 1584631918.5242
MEM 1878.312500 1584631918.6245
MEM 1878.464844 1584631918.7248
MEM 1878.617188 1584631918.8251
MEM 1878.769531 1584631918.9253
MEM 1901.812500 1584631919.0256
MEM 1887.925781 1584631919.1259
MEM 2168.257812 1584631919.2262
MEM 2434.320312 1584631919.3266
MEM 2705.281250 1584631919.4268
MEM 2976.757812 1584631919.5272
MEM 3248.234375 1584631919.6275
MEM 3375.128906 1584631919.7278
MEM 3430.558594 1584631919.8281
MEM 3487.019531 1584631919.9284
MEM 3543.222656 1584631920.0287
MEM 3598.910156 1584631920.1290
MEM 3655.371094 1584631920.2293
MEM 3711.058594 1584631920.3296
MEM 3767.519531 1584631920.4299
MEM 3823.980469 1584631920.5303
MEM 3880.441406 1584631920.6306
MEM 3936.644531 1584631920.7309
MEM 3992.332031 1584631920.8312
MEM 4048.277344 1584631920.9315
MEM 4104.996094 1584631921.0318
MEM 4161.199219 1584631921.1321
MEM 4217.917969 1584631921.2324
MEM 4273.863281 1584631921.3327
MEM 4330.324219 1584631921.4330
MEM 4387.042969 1584631921.5333
MEM 4443.503906 1584631921.6336
MEM 4499.964844 1584631921.7339
MEM 4555.652344 1584631921.8342
MEM 4612.113281 1584631921.9345
MEM 4668.574219 1584631922.0348
MEM 4725.035156 1584631922.1350
MEM 4780.722656 1584631922.2353
MEM 2120.023438 1584631922.3356
MEM 2113.261719 1584631922.4359
MEM 2197.511719 1584631922.5362
MEM 2193.644531 1584631922.6365
MEM 2144.144531 1584631922.7368
MEM 1896.859375 1584631922.8371
MEM 1906.875000 1584631922.9374
MEM 1907.960938 1584631923.0376
MEM 1908.058594 1584631923.1379
MEM 2136.984375 1584631923.2382
MEM 2229.953125 1584631923.3385
MEM 2227.375000 1584631923.4387
MEM 2182.000000 1584631923.5390
MEM 1908.261719 1584631923.6393
MEM 2019.281250 1584631923.7396
MEM 2252.859375 1584631923.8399
MEM 2246.062500 1584631923.9402
